,x
1,"Exclusive: ""Up to 1,000"" car repair companies could collapse 2 weeks into a no-deal Brexit, according to stark industry meeting notes obtained by BI.

No-deal would be ""dire"" for the industry and wipe out stronger companies within a month, the notes say. https://t.co/9ahrJ1F1C6 https://t.co/7qxnlsd9Hf"
2,"Industry leaders told me HMG has done ""nothing"" to provide no-deal advice which is specific to vehicle crash repair companies.

""There has been no specific consideration for this industry whatsoever.""

Labour's @RLong_Bailey said it was ""unforgivable."" https://t.co/0HU1zSv2ye"
3,FAO John McDonnell. There’s no such thing as a Brexit that doesn't damage the economy and threaten jobs. #marr
4,Of course we can trust the government that said they’d re-house Grenfell residents but still haven’t and said they’d protect the Windrush generation but still haven’t to guarantee workers’ rights after Brexit because they said they would.
5,"Days till Brexit: 24

Cost: Billions in No Deal preparations, businesses going bust or leaving, jobs lost, lack of growth and investment.

Tangible gains: er...
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
blue passports?
Oh, and a deal with the Faroe Islands

Agreed plan: None https://t.co/lFjWuG8qhJ"
6,Idea for getting Honda Swindon not to turn its back on the UK: stop opposing a People’s Vote and start opposing the Brexit catastrofuck which will destroy so many of your members jobs. https://t.co/Ui6uITu3jW
7,"Don’t vote for May’s deal, it will only usher in more austerity | Politics | The Guardian ⁦@Tim_Roache⁩ yet again showing leadership on #Brexit https://t.co/yRjjEuD4Y9"
8,Off for a webinar on what to expect in the insurance industry re:Brexit. Here’s hoping someone has an answer written on a postcard somewhere
9,"Peter Stevenson @ciwf: ""If the government fails to protect UK farmers from cheap, low-welfare imports, it will be impossible for it to honour its commitment to using Brexit to achieve gold-standard levels of animal welfare"" https://t.co/LYd7whMrLK"
10,"Theresa May quietly ""watering down""workers' rights in Brexit agreement, union warns https://t.co/yArBanNQgk"
11,"“Theresa May's deal on workers' rights isn't worth the paper it's written on – and Labour MPs should know that”
https://t.co/jVdfzJ38CF by @eloisetodd"
12,“It should be in Labour politicians’ job description to stand up for workers’ rights. Doing deals with a prime minister hell-bent on delivering Brexit is not the way to go about that.” 👏👏👏👏👏
13,"Peter Ward batting for the industry on @CNBC earlier this morning about the likely impact of #Brexit on customs, border security, sterling fluctuations and supply chain disruption."
14,"My BiL is set to lose his job, because the company he works for is closing its trading office in London. They've offered him to apply for a similar job, based in Geneva or Brussels. His British passport isn't helping.
Is this a brexit benefit? I can't tell."
15,"Only 20 days left until #Brexit. To avoid major disruption of supply chains across ALL #industries and to protect #jobs, no-deal Brexit needs to be avoided.  https://t.co/i0VnqRFqxv https://t.co/gWVNP3PUws"
16,@Coops_tv @darrengrimes_ All the people involved with breaking the law during brexit were conveniently handed jobs at a select group of Tufton Street 'think tanks'.
17,"The UK chemicals industry could be among the worst hit by #Brexit – do you agree?
https://t.co/jJmHJvkOcF"
18,"Theresa May quietly ""watering down""workers' rights in Brexit agreement, union warns https://t.co/rlPkCkFlLW"
19,"@qprmicky @redalphababe @ReplabJohn @ecureuilnoir Pharma industry people who know are not supposed to say things will be bad. 
https://t.co/xDw8r0D3iX"
20,ICYMI Brexit is killing off our UK Car Industry https://t.co/bOnv1rLhhp
21,"@robin_bale @padraicg15 @EL4JC I haven't made any insinuations about him. Quite the opposite.

But often useful to judge people by the company they keep. 

Corbyn knows Brexit is bad for Britain and the environment, but is refusing to even commit a finger to fight to stop it. Why?"
22,"So, read this thread from the start  to watch a year of warnings and Brexit concerns about the collapse of the UK Car industry under the threat of Leaving the single market &amp; customs union. 

#LetsGoWTO? #LetsGoWTF!
#NoDealNoProblem? #NoDealBigProblem!

Or, in summary: https://t.co/FyFFn1M04T"
23,"@StevieCABZ They teamed up with Tories who reject their own government stance on Brexit.
Unlike some Labour MPs who actually voted with Tories.

TIG Labour MPs represent the origin party line on EU Membership and the best interests of workers in the UK. https://t.co/T3Gx0RvKir"
24,"@KarlPritch86 @TweedStokes @lisanandy Changing the nature of employment hasn't improved real wages or job security. Plus #BrexitJobLosses
Leaving the EU diminishes the clout of the London financial market. That's why so much money has already left UK &amp; more will follow if we do commit Brexit. https://t.co/ADW5g8UFko"
25,@robin_bale @padraicg15 @EL4JC If you aren't willing to stand with workers to defend our NHS against Brexit then you are not a socialist IMO
26,"#BrexitConcerns about the potential damage ahead to workers rights. May's proposals are: ""wholly unenforceable as a matter of law and the post-Brexit constitution and therefore cannot be relied upon"" https://t.co/5l58W2cO6r"
27,"""There is no form of Brexit which protects hard-won workers' rights like our EU membership does."" Put that on a piece of paper Prime Minister. 

- @EloiseTodd 

https://t.co/E9V9a5fPgr"
28,"Professional jobs ofc + all the club rep jobs in Ibiza in summer, the jobs at ski resorts in Europe, working holidays, internships at bakeries in France, musicians playing at pubs across Europe - they’re all set to face visa restrictions and become uneconomical to pursue #Brexit"
29,"This so-called “non-regression lock” is the PM's latest bribe to reassure Labour MPs &amp; trade unions that future governments would be legally tied to uphold workers rights...yet, it seems the PM has forgotten what parliamentary sovereignty is - @eloisetodd 
https://t.co/cZLEM9qZ5b"
30,What's the future for UK oil industry after Brexit? - News for the Oil and Gas Sector - Energy Voice… https://t.co/nXI9oXaywr #Brexit #News
31,"@UKfollowgain @philsquidgharri My background is genetics, my 1st career path was to be a research geneticist (a lifetime ago).

There's no difference to a GM tomato to another tomato to your digestive system. What do you think GM food can do to your genetics that any other food item can't do?"
32,Is increasing workers' bargaining power the best way to raise real wages?: To raise real wages… https://t.co/J63sbWNDIU #Brexit #Politics
33,"@deembe_ @SillyTopHat ""#Brexit is bad for our country in every way from social cohesion to the environment, from consumer protection to European stability, real jobs to healthcare.""

Prove it."
34,UK construction industry shrinks as Brexit hits confidence - business live - The Guardian: UK… https://t.co/pnRhUepFG2 #Brexit #News
35,NHS worker argues Brexit will be 'GREAT OPPORTUNITY' for Britain – 'GO for it!' - Express: NHS… https://t.co/yWsQGJNtdx #Brexit #News
36,"@Urbain_Toreador @DerekMc1964 ROFLOL at Twitter is your credible source.

If ""There are already job losses"" how do you explain the UK's record employment stats?

Jobs are of course lost, but even more are created.

Only morons use the zero hours contracts argument, don't do it, don't be a moron.🤷‍♂️"
37,"@Hartlands76 @IndyScot_News @JustinTomlinson From https://t.co/yr3AVj9yDn (November 2018) which is referenced by the Real Living Wage website has the number at 5.75M jobs below the Real Living Wage in 2018.

If the number goes up it suggests the economy is creating more low paid vs high paid jobs.🤔"
38,"@adaliabooks You are describing UK democracy. What is wrong with our more direct democracy?

If the Tories win the next GE &amp; start stripping away workers right WE can stop/reverse the changes in a GE.

I voted for Tony Blair because I don't trust the Tories on workers rights etc."
