"","x"
"1","Of course he hasn't selected it, it would rule out the one thing he and his chums want to happen. This is the consequence of a Remain parliament and Speaker with a 'bollocks to Brexit' sticker on his car. That sticker shows his contempt for our vote and for 17.4 m Brexit voters. https://t.co/K3LjZ4PjBj"
"2","Parliament votes against a no-deal Brexit https://t.co/9KvIovNlEA"
"3","Oh **UK! What next for Brexit? https://t.co/vrINdrckm0"
"4","Theresa May’s Brexit deal fails again https://t.co/YqnXRoo5YP"
"5","Brexit gridlock, a battle for influence in Africa, and gender-neutral language https://t.co/M6ZFB278on"
"6","@realDonaldTrump The Brits shot themselves in their collective foot by buying into claims that reminded me of your campaign promises, esp. that Mexico would pay for your idiot wall. Brexit's a cringe-worthy fiasco &amp; a proverbial slow motion car crash. What are you going to do? Smelling blood?"
"7","Bomb found in Grayling's Brexit car park https://t.co/ODTZLOz8TI"
"8","Moody's: Car manufacturers would suffer under no-deal Brexit https://t.co/g6qqKMJMM1"
"9","The best analogy for removing the no deal #brexit option I heard was going into a car showroom and saying that you are not leaving without buying a car."
"10","Jaguar Land Rover has opened a new plant in Slovakia (expected capacity of 100,000 cars/year by 2020) and has begun shifting car production away from the UK, partly as a response to Brexit. 78/254
https://t.co/Eqh9tCNELg"
"11","Porsche is requiring new car buyers to sign a clause agreeing that they will commit themselves to paying the 10% tariff on cars delivered after Brexit Day, in the event of a no-deal forcing the UK onto WTO terms. 235/254
https://t.co/UupjeTCcaO"
"12","Ok, so in ONE day we've had bad news from Toyota, BMW, Vauxhall, and now a second dose from Nissan. How can anyone say with a straight face that Brexit is anything other than an absurd idea? We better fix this quick, before our jewel of a car industry turns into dead factories! https://t.co/1EgJbsdBnn"
"13","Nissan announced in February 2019 it would not be building the X-Trail model in Sunderland after all, reversing its commitment of October 2016 made in the wake of confidential Government assurances over Brexit. 208/254
https://t.co/px1RLtNaBB"
"14","- A great deal for fishermen: after no-deal, UK boats won't be able to fish in EU waters, or land fish at EU ports
- Thriving economy: £800 billion of financial assets gone, thousands of jobs lost, car industry shutting down
- Freedom of movement: we'll have none after Brexit."
"15","Pressmark Pressings Ltd, a company making auto parts, borrowed £200,000 so that it could double its reserves of steel to 15 days in advance of Brexit. 201/254
https://t.co/KMVtn1prtU"
"16","The UK auto industry is (was?) worth over £82 billion (that's nearly 100x as much as the fishing industry, btw). It employs 186,000 people directly, and over 850,000 across the wider industry. A no-deal Brexit will put ALL of that at risk. Crazy price!
https://t.co/XlFZv3GlnU"
"17","@sarahwollaston @Anna_Soubry Bliss. Brexit's far worse. Imagine the car exploding as it rolls over, then burning for decades."
"18","Today seems to be the day the UK car industry gives up the ghost because of Brexit. After Toyota and BMW, now Vauxhall drop their own bombshell. Patrick Minford has proven right about *one* thing: Brexit WILL destroy car manufacturing in the UK. Reminder: we can still stop it! https://t.co/iV3yMEGQbn"
"19","Up to a thousand car repair firms could collapse within weeks of a no-deal Brexit. Margins are microscopic, so disruption is a death sentence. ""We have two to three per cent return on sales, that's our profitability. We don't have any cash lying around.""
https://t.co/J19LkKXRpS"
"20","Schaeffler, a car parts company, is closing its factory in Llanelli, Wales, because of Brexit, affecting 220 jobs. The factory opened in 1957. The decision was described in the Welsh Assembly as ""the tremor that will lead to the Brexit earthquake"". 35/254
https://t.co/o3ChuNxb8w"
"21","Hat trick! After Nissan and Honda, Toyota comes out openly with warnings about the future of its UK plants after a no-deal Brexit. Are we really going to pursue Patrick Minford's wet dream of running down the UK auto industry and turning out the lights? There is another way... https://t.co/2PCK6eua2o"
"22","Ford reported a near US$1 billion drop in profits from its European operations in its 2017 annual report, with US$600 million attributed directly to Brexit and the fall in the value of the pound since the referendum. 133/254
https://t.co/Dw3Rc72xG5"
"23","@MikeFox60521 It's more like ""Within minutes of a no deal Brexit, every UK car company will give up."""
"24","With 18 days to go until Brexit, are we going to see the German car industry come galloping over the hill to break the deadlock, like Gandalf at the first light of the fifth day of the seige of Helm's Deep? I won't hold my breath!
https://t.co/5fWIT8ta2R"
"25","@azp_sea @PeterMatza @edwardlucas Brexit. They're still going to make the hybrids in Japan, just not in the UK. And that's despite already sinking investment into the UK plant to prepare it for electric car manufacturing."
"26","Was ""Your car will cost 10% more"" on the side of the Brexit bus? https://t.co/xGxpTGtevx"
"27","@Keir_Starmer Us being dragged through the car crash that is Brexit. .... https://t.co/azagvI25e5"
